0,activated,有効
1,added,追加
2,agent-alreadyon,エージェントはすでにログインしています。あなたのエージェント番号を入力しシャープを押してください。
3,agent-incorrect,ログイン失敗。あなたのエージェント番号を入力し最後にシャープを押してください。
4,agent-loggedoff,エージェント、ログオフ
5,agent-loginok,エージェント、ログイン
6,agent-newlocation,新しい内線番号を入力し、最後にシャープを押してください。
7,agent-pass,パスワードを入力し、最後にシャープを押してください。
8,agent-user,エージェントログイン。エージェント番号を入力し最後にシャープを押してください。
9,all-circuits-busy-now,全ての回線がはなしちゅうです。
10,astcc-followed-by-the-pound-key,最後にシャープを押してください。
11,at-tone-time-exactly,時刻は
12,auth-incorrect,パスワードがまちがっています。パスワードを入力し最後にシャープを押してください。
13,auth-thankyou,ありがとうございました。
14,basic-pbx-ivr-main,お電話ありがとうございます。担当者の内線番号をご存じならその番号を押してください。カスタマーサービスには１を、営業には２を、経理には３を押してください。当社のディレクトリには４を、オペレーターを呼び出したい場合にはゼロを押してください。
15,call-forwarding,転送
16,call-fwd-no-ans,無応答じ転送
17,call-fwd-on-busy,わちゅう転送
18,call-fwd-unconditional,無条件転送
19,calling,呼び出し中
20,call-waiting,キャッチ
21,cancelled,取り消し
22,cannot-complete-as-dialed,ダイヤルされた番号は接続できません。
23,check-number-dial-again,もう一度番号を確認してダイヤルしてください
24,conf-adminmenu,あなた自身をミュートまたは解除するには１，会議をロックまたは解除するには２，最後のユーザを退席させるには３、会議の音量を下げるには４，上げるには６，あなたの音量を下げるには７，上げるには９，メニューを抜けるには８を押してください。
25,conf-adminmenu-162,あなたをミュートまたは解除するには１，会議をロックまたは解除するには２，最後のユーザを退席させるには３、会議の音量を下げるには４，上げるには６，会議を延長するには５，あなたの音量を下げるには７，上げるには９，メニューを抜けるには８を押してください。
26,conf-adminmenu-18,あなたをミュートまたは解除するには１、会議をロックまたは解除するには２、最後のユーザを退室させるには３を、音量を下げるには４、上げるには６、会議の延長は５、あなたの音量を下げるには７、上げるには９、詳細オプションは８を押してください。
27,conf-adminmenu-menu8,現在の参加者リストは１、管理者以外をキックするには２、管理者以外をミュートまたは解除するには３、会議の録音は４、このメニューを終了して会議に戻るには８を押してください。
28,confbridge-begin-glorious-a,リーダーが入室しだい会議は開始されます
29,confbridge-begin-glorious-b,リーダーが入室しだい会議は開始されます
30,confbridge-begin-glorious-c,リーダーが入室しだい会議は開始されます
31,confbridge-begin-leader,リーダーが入室しだい会議は開始されます
32,confbridge-binaural-off,スリーディーオーディオ無効
33,confbridge-binaural-on,スリーディーオーディオ有効
34,confbridge-conf-begin,会議が開始されます
35,confbridge-conf-end,会議は終了します
36,confbridge-dec-list-vol-in,ほかの参加者の音量を下げるには
37,confbridge-dec-list-vol-out,ほかの参加者の音量を下げます
38,confbridge-dec-talk-vol-in,あなたの音量を下げるには
39,confbridge-dec-talk-vol-out,あなたの音量を下げます
40,confbridge-has-joined,が、会議に入室しました。
41,confbridge-has-left,が、会議から退室しました。
42,confbridge-inc-list-vol-in,ほかの参加者の音量を上げるには
43,confbridge-inc-list-vol-out,ほかの参加者の音量を上げます
44,confbridge-inc-talk-vol-in,あなたの音量を上げるには
45,confbridge-inc-talk-vol-out,あなたの音量を上げます
46,confbridge-invalid,無効なオプションです。
47,confbridge-leave-in,会議を抜けるには
48,confbridge-leave-out,会議を抜けます
49,confbridge-locked,会議はロックされました
50,confbridge-lock-extended,会議をロックまたは解除します。会議がロックされている状態では管理者のみ入室できます。
51,confbridge-lock-in,会議をロックまたは解除するには
52,confbridge-lock-no-join,会議はロックされおり入室できません。
53,confbridge-lock-out,会議をロックまたは解除します。
54,confbridge-menu-exit-in,メニューを抜けるには
55,confbridge-menu-exit-out,メニューを抜けます
56,confbridge-muted,ミュートしました
57,confbridge-mute-extended,ミュート状態ではあなたの声は会議には送られませんが、他の参加者の発言を聞くことはできます。
58,confbridge-mute-in,ミュートまたは解除するには
59,confbridge-mute-out,で、ミュートまたは解除します。
60,confbridge-only-one,現在、参加者がひとり居ます。
61,confbridge-only-participant,この会議の参加者はあなただけです。
62,confbridge-participants,人、参加しています。
63,confbridge-pin,あなたのアイディーを入力し最後にシャープを押してください。
64,confbridge-pin-bad,誤った入力を行いました。
65,confbridge-removed,会議から退室させられました。
66,confbridge-remove-last-in,最後の入室者を退室させるには、
67,confbridge-remove-last-out,で、最後の入室者を退室させます。
68,confbridge-rest-list-vol-in,音量をリセットするには、
69,confbridge-rest-list-vol-out,で、音量をリセットします。
70,confbridge-rest-talk-vol-in,発言音量をリセットするには、
71,confbridge-rest-talk-vol-out,で、発言音量をリセットします。
72,confbridge-there-are,現在この会議には、
73,confbridge-unlocked,会議のロックは解除されました。
74,confbridge-unmuted,あなたのミュートは解除されました。
75,conf-enteringno,会議に参加します
76,conf-errormenu,選択が間違っています。
77,conf-extended,会議は延長されました。
78,conf-full,会議は満席です。
79,conf-getchannel,チャンネル番号を入力し、最後にシャープを押してください。
80,conf-getconfno,会議番号を入力し、最後にシャープを押してください。
81,conf-getpin,会議のピン番号を入力してください。
82,conf-hasjoin,会議に参加しました。
83,conf-hasleft,会議から退室しました。
84,conf-invalid,会議番号が間違っています。もう一度お試しください。
85,conf-invalidpin,ピン番号が無効です。
86,conf-kicked,あなたは会議から退出させられました。
87,conf-leaderhasleft,リーダーが会議から退室しました。
88,conf-locked,会議はロックされました。
89,conf-lockednow,会議はロックされました。
90,conf-muted,あなたはミュートされました。
91,conf-noempty,空き会議室はありません。
92,conf-nonextended,会議の延長はできません。
93,conf-now-muted,会議はミュートされました。
94,conf-now-recording,会議の録音が開始されました。
95,conf-now-unmuted,会議のミュートは解除されました。
96,conf-onlyone,会議にほかの参加者がひとりいます。
97,conf-onlyperson,この会議の参加者はあなただけです。
98,conf-otherinparty,他の参加者がいます
99,conf-placeintoconf,会議に参加します
100,conf-roll-callcomplete,参加者リストの再生は以上です。
101,conf-thereare,この会議には
102,conf-unlockednow,会議のロックが解除されました。
103,conf-unmuted,あなたのミュートは解除されました。
104,conf-usermenu,ミュートまたは解除するには１を、会議の音量を上げるまたは下げるには４または６を、あなたの音量を上げるまたは下げるには７または９を、終了するには８を押します。
105,conf-usermenu-162,ミュートまたは解除するには１を、会議の音量を上げるまたは下げるには４または６を、あなたの音量を上げるまたは下げるには７または９を、会議に戻るには８を押します。
106,conf-userswilljoin,が、会議に入室します。
107,conf-userwilljoin,が、会議に入室します。
108,conf-waitforleader,議長が入室次第、会議は開始されます。
109,de-activated,無効化されました。
110,digits/0,ゼロ
111,digits/1,１
112,digits/10,１０
113,digits/11,１１
114,digits/12,１２
115,digits/13,１３
116,digits/14,１４
117,digits/15,１５
118,digits/16,１６
119,digits/17,１７
120,digits/18,１８
121,digits/19,１９
122,digits/2,２
123,digits/20,２０
124,digits/3,３
125,digits/30,３０
126,digits/4,４
127,digits/40,４０
128,digits/5,５
129,digits/50,５０
130,digits/6,６
131,digits/60,６０
132,digits/7,７
133,digits/70,７０
134,digits/8,８
135,digits/80,８０
136,digits/9,９
137,digits/90,９０
138,digits/a-m,午前
139,digits/at,に
140,digits/billion,億
141,digits/day-0,日曜
142,digits/day-1,月曜
143,digits/day-2,火曜
144,digits/day-3,水曜
145,digits/day-4,木曜
146,digits/day-5,金曜
147,digits/day-6,土曜
148,digits/dollars,ドル
149,digits/h-1,最初
150,digits/h-10,１０番目
151,digits/h-11,１１番目
152,digits/h-12,１２番目
153,digits/h-13,１３番目
154,digits/h-14,１４番目
155,digits/h-15,１５番目
156,digits/h-16,１６番目
157,digits/h-17,１７番目
158,digits/h-18,１８番目
159,digits/h-19,１９番目
160,digits/h-2,２番目
161,digits/h-20,２０番目
162,digits/h-3,３番目
163,digits/h-30,３０番目
164,digits/h-4,４番目
165,digits/h-40,４０番目
166,digits/h-5,５番目
167,digits/h-50,５０番目
168,digits/h-6,６番目
169,digits/h-60,６０番目
170,digits/h-7,７番目
171,digits/h-70,７０番目
172,digits/h-8,８番目
173,digits/h-80,８０番目
174,digits/h-9,９番目
175,digits/h-90,９０番目
176,digits/h-billion,億番目
177,digits/h-hundred,１００番目
178,digits/h-million,１００万番目
179,digits/h-thousand,１０００番目
180,digits/hundred,１００
181,digits/million,１００万
182,digits/minus,マイナス
